Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Jakub Vojta,,Grail 5,,1,8,0,2,,FALSE,100
Matěj Malý,,Grail 5,,2,7,1,2,,FALSE,92
Vojtěch Lavička,,Grail 5,,3,6,1,2,,FALSE,88
Nolaac Vivnil,,Grail 5,,4,6,2,1,,FALSE,85
David Ottomansky,,Grail 5,,5,5,1,2,,FALSE,82
Adam Divis,,Grail 5,,6,5,2,1,,FALSE,80
David Štěpánek,,Grail 5,,7,5,2,1,,FALSE,78
Jířa Joska,,Grail 5,,8,5,2,1,,FALSE,76
Antonín Seidl,,Grail 5,,9,5,1,1,,FALSE,74
Michal Hrubý,,Grail 5,,10,5,2,0,,FALSE,72
Jan Verner,,Grail 5,,11,5,2,0,,FALSE,70
Roman Legiň,,Grail 5,,12,5,2,0,,FALSE,69
Tomáš Badanic,,Grail 5,,13,5,2,0,,FALSE,68
Jiri Balun,,Grail 5,,14,5,2,0,,FALSE,67
Patrik Adler,,Grail 5,,15,5,2,0,,FALSE,66
Daniel Prosek,,Grail 5,,16,5,2,0,,FALSE,65
Lukas Pesek,,Grail 5,,17,5,2,0,,FALSE,64
Sebastian Jacques,,Grail 5,,18,5,2,0,,FALSE,63
Jan Mačas,,Grail 5,,19,4,1,2,,FALSE,62
Dung Nguyen Tien,,Grail 5,,20,4,2,1,,FALSE,61
Jakub Lerl,,Grail 5,,21,4,2,1,,FALSE,60
Tomáš Neumann,,Grail 5,,22,4,3,0,,FALSE,59
bart olomej,,Grail 5,,23,4,3,0,,FALSE,58
Štěpán Šubrt,,Grail 5,,24,4,3,0,,FALSE,57
alex igonda,,Grail 5,,25,4,3,0,,FALSE,56
Jan Klimeš,,Grail 5,,26,4,3,0,,FALSE,55
Pavel Gric,,Grail 5,,27,4,3,0,,FALSE,54
Václav Pavlíček,,Grail 5,,28,4,3,0,,FALSE,53
Jan Stádník,,Grail 5,,29,4,3,0,,FALSE,52
Zbyněk Barták,,Grail 5,,30,4,3,0,,FALSE,51
Vít Albert,,Grail 5,,31,4,3,0,,FALSE,40
Robin Polak,,Grail 5,,32,4,3,0,,FALSE,40
Dominik Mašík,,Grail 5,,33,4,3,0,,FALSE,40
Tomáš Hanousek,,Grail 5,,34,4,3,0,,FALSE,40
Miroslav Kalina,,Grail 5,,35,4,3,0,,FALSE,40
Josef Böhm,,Grail 5,,36,4,3,0,,FALSE,40
Vojtěch Kotek,,Grail 5,,37,4,3,0,,FALSE,40
Jindřich Böhm,,Grail 5,,38,4,3,0,,FALSE,40
Alan Stehlik,,Grail 5,,39,4,3,0,,FALSE,40
Adam Petrik,,Grail 5,,40,4,3,0,,FALSE,40
Matěj Hataš,,Grail 5,,41,4,3,0,,FALSE,30
Jan Franěk,,Grail 5,,42,3,2,2,,FALSE,30
Lukas Kraft,,Grail 5,,43,3,3,1,,FALSE,30
Lubor Šída,,Grail 5,,44,3,3,1,,FALSE,30
Vit Rehacek,,Grail 5,,45,3,3,1,,FALSE,30
Dung Nguyen,,Grail 5,,46,3,4,0,,FALSE,30
Jan Kulhanek,,Grail 5,,47,3,4,0,,FALSE,30
Ervin Kuč,,Grail 5,,48,3,4,0,,FALSE,30
Dan Petrok,,Grail 5,,49,3,4,0,,FALSE,30
Milos Palek,,Grail 5,,50,3,4,0,,FALSE,30
Kryštof Nuc,,Grail 5,,51,3,4,0,,FALSE,20
Ladislav Majer,,Grail 5,,52,3,4,0,,FALSE,20
Matouš Pavlovský-Fiala,,Grail 5,,53,3,4,0,,FALSE,20
Jan Tic,,Grail 5,,54,3,4,0,,FALSE,20
Jan Bizon,,Grail 5,,55,3,4,0,,FALSE,20
Vojtěch Šenkýř,,Grail 5,,56,3,4,0,,FALSE,20
Josef Krpalek,,Grail 5,,57,3,4,0,,FALSE,20
Dennis Lagron,,Grail 5,,58,3,4,0,,FALSE,20
Tomas Vojik,,Grail 5,,59,3,4,0,,FALSE,20
Matthew Grygar,,Grail 5,,60,3,4,0,,FALSE,20
Dominik Trpák,,Grail 5,,61,3,4,0,,FALSE,10
Ondřej Palička,,Grail 5,,62,3,4,0,,FALSE,10
Jakub Spáčil,,Grail 5,,63,3,4,0,,FALSE,10
Matěj Lank,,Grail 5,,64,3,4,0,,FALSE,10
Lukáš Holer,,Grail 5,,65,3,4,0,,FALSE,10
Martin Snopko,,Grail 5,,66,3,4,0,,FALSE,10
Bronislav Pěčem,,Grail 5,,67,2,2,1,,FALSE,10
Martin Slezak,,Grail 5,,68,2,2,1,,FALSE,10
Marek Voráček,,Grail 5,,69,2,4,1,,FALSE,10
Max Bobrovský,,Grail 5,,70,2,4,1,,FALSE,10
Filip Mraz,,Grail 5,,71,2,5,0,,FALSE,10
Milan Kopáček,,Grail 5,,72,2,5,0,,FALSE,10
Jey Mi,,Grail 5,,73,2,5,0,,FALSE,10
Martin Knob,,Grail 5,,74,2,5,0,,FALSE,10
Karel Vápeník,,Grail 5,,75,2,5,0,,FALSE,10
Martin Malík,,Grail 5,,76,2,5,0,,FALSE,10
Vratislav Drábek,,Grail 5,,77,2,5,0,,FALSE,10
Václav Hrdlička,,Grail 5,,78,2,5,0,,FALSE,10
Tomáš Fridrich,,Grail 5,,79,2,5,0,,FALSE,10
Jan Kozlík,,Grail 5,,80,2,5,0,,FALSE,10
Dominik Schenk,,Grail 5,,81,1,3,1,,FALSE,10
Jiří Kočárek,,Grail 5,,82,1,6,0,,FALSE,10
Martin Kasaly,,Grail 5,,83,1,6,0,,FALSE,10
David Bohuslav,,Grail 5,,84,1,6,0,,FALSE,10
Adam Luxburg,,Grail 5,,85,1,6,0,,FALSE,10
Lukáš Müller,,Grail 5,,86,1,6,0,,FALSE,10
Simon Lavrík,,Grail 5,,87,1,4,0,,FALSE,10
Tomáš Trča,,Grail 5,,88,0,3,1,,FALSE,10
Jiří Obraz,,Grail 5,,89,0,2,0,,FALSE,10
