Michal Hrubý,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,1,8,1,0,https://www.mtgtop8.com/event?e=76853&d=782992&f=EDH,NEPRAVDA,100
Zbyněk Barták,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,2,6,1,2,https://www.mtgtop8.com/event?e=76853&d=782993&f=EDH,NEPRAVDA,92
Marek Voráček,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,3,5,1,2,https://www.mtgtop8.com/event?e=76853&d=782995&f=EDH,NEPRAVDA,88
Dominik Mašík,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,4,5,2,1,https://www.mtgtop8.com/event?e=76853&d=782994&f=EDH,NEPRAVDA,85
Jan Stádník,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,5,5,2,0,https://www.mtgtop8.com/event?e=76853&d=782997&f=EDH,NEPRAVDA,82
Jenda Hurt,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,6,4,1,2,https://www.mtgtop8.com/event?e=76853&d=782998&f=EDH,NEPRAVDA,80
Josef Böhm,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,7,4,2,1,https://www.mtgtop8.com/event?e=76853&d=782999&f=EDH,NEPRAVDA,78
Jakub Terl,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,8,4,2,1,https://www.mtgtop8.com/event?e=76853&d=782996&f=EDH,NEPRAVDA,76
Florian Aime,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,9,4,1,1,,NEPRAVDA,74
Jířa Joska,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,10,4,1,1,,NEPRAVDA,72
Pavel Press,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,11,4,2,0,,NEPRAVDA,70
Morozko,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,12,4,2,0,,NEPRAVDA,69
Alan Stehlik,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,13,4,2,0,,NEPRAVDA,68
Dennis Lagron,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,14,4,2,0,,NEPRAVDA,67
Marek Majer,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,15,4,2,0,,NEPRAVDA,66
Milan Kopáček,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,16,4,2,0,,NEPRAVDA,65
Jan Verner,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,17,4,2,0,,NEPRAVDA,64
Matouš Pavlovský-Fiala,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,18,4,2,0,,NEPRAVDA,63
Martin Vlnas,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,19,4,2,0,,NEPRAVDA,62
Roman Legiň,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,20,3,2,1,,NEPRAVDA,61
Ladislav Majer,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,21,3,2,1,,NEPRAVDA,60
Vojtěch Lavička,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,22,3,2,1,,NEPRAVDA,59
František Vitula,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,23,3,2,1,,NEPRAVDA,58
Jan Bizon,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,24,3,2,1,,NEPRAVDA,57
Nolaac Vivnil,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,25,3,3,0,,NEPRAVDA,56
Dan Petrok,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,26,3,3,0,,NEPRAVDA,55
Ondřej Smetana,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,27,3,3,0,,NEPRAVDA,54
Peter Markovič,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,28,3,3,0,,NEPRAVDA,53
Miroslav Kalina,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,29,3,3,0,,NEPRAVDA,52
Max Bobrovský,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,30,3,3,0,,NEPRAVDA,51
Oleh Lototskyi,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,31,3,3,0,,NEPRAVDA,40
Michal Krkavec,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,32,3,3,0,,NEPRAVDA,40
Dung Nguyen,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,33,3,3,0,,NEPRAVDA,40
Daniel Hanzlík,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,34,3,3,0,,NEPRAVDA,40
Dominik Maly,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,35,3,3,0,,NEPRAVDA,40
Jiří Peltan,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,36,3,3,0,,NEPRAVDA,40
Jakub Vojta,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,37,3,3,0,,NEPRAVDA,40
Michal Matoušek,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,38,3,3,0,,NEPRAVDA,40
Ondřej Vitula,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,39,2,3,1,,NEPRAVDA,40
Martin Okruhlíca,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,40,2,3,1,,NEPRAVDA,40
Jan Vimmer,,Grail 2,https://www.mtgtop8.com/event?e=76853&f=EDH,41,2,3,1,,NEPRAVDA,30
