Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Jan Stádník,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,1,9,1,1,https://www.mtgtop8.com/event?e=82209&d=824764&f=EDH,FALSE,100
David Ottomansky,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,2,8,2,1,https://www.mtgtop8.com/event?e=82209&d=824765&f=EDH,FALSE,92
Miroslav Kalina,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,3,7,2,1,https://www.mtgtop8.com/event?e=82209&d=824767&f=EDH,FALSE,88
Jakub Vojta,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,4,7,2,1,https://www.mtgtop8.com/event?e=82209&d=824766&f=EDH,FALSE,85
Martin Okruhlíca,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,5,6,1,2,https://www.mtgtop8.com/event?e=82209&d=824768&f=EDH,FALSE,82
Jindřich Böhm,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,6,6,1,2,https://www.mtgtop8.com/event?e=82209&d=824769&f=EDH,FALSE,80
Štěpán Šubrt,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,7,6,2,1,https://www.mtgtop8.com/event?e=82209&d=824770&f=EDH,FALSE,78
Lubor Šída,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,8,6,2,1,https://www.mtgtop8.com/event?e=82209&d=824771&f=EDH,FALSE,76
Jakub Nemec,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,9,5,1,2,https://www.mtgtop8.com/event?e=82209&d=824772&f=EDH,FALSE,74
Karel Vápeník,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,10,5,1,2,https://www.mtgtop8.com/event?e=82209&d=824773&f=EDH,FALSE,72
Dominik Mašík,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,11,5,2,1,https://www.mtgtop8.com/event?e=82209&d=824774&f=EDH,FALSE,70
Josef Böhm,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,12,5,2,1,https://www.mtgtop8.com/event?e=82209&d=824775&f=EDH,FALSE,69
Lukas Blohon,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,13,5,2,1,https://www.mtgtop8.com/event?e=82209&d=824776&f=EDH,FALSE,68
Jenda Hurt,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,14,5,2,1,https://www.mtgtop8.com/event?e=82209&d=824777&f=EDH,FALSE,67
Roman Legiň,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,15,5,3,0,https://www.mtgtop8.com/event?e=82209&d=824778&f=EDH,FALSE,66
