Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Jakub Havelkizzle,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,16,5,3,0,https://www.mtgtop8.com/event?e=82209&d=824779&f=EDH,FALSE,65
Antonín Seidl,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,17,5,2,0,,FALSE,64
Ladislav Majer,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,18,5,2,0,,FALSE,63
David Smrček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,19,5,2,0,,FALSE,62
Michal Mendl,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,20,5,2,0,,FALSE,61
Jan Klimeš,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,21,5,2,0,,FALSE,60
Jan Findejs,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,22,5,2,0,,FALSE,59
Jindřich Hruška,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,23,5,2,0,,FALSE,58
Matěj Malý,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,24,5,2,0,,FALSE,57
Ondřej Smetana,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,25,5,2,0,,FALSE,56
Václav Peltan,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,26,5,2,0,,FALSE,55
Jan Mačas,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,27,4,2,1,,FALSE,54
Christian Mullen,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,28,4,2,1,,FALSE,53
Marek Voráček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,29,4,2,1,,FALSE,52
Lukas Pesek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,30,4,2,1,,FALSE,51
Dung Nguyen Tien,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,31,4,2,1,,FALSE,40
Jakub Jungling,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,32,4,2,1,,FALSE,40
Vojtěch Šenkýř,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,33,4,3,0,,FALSE,40
Martin Vlnas,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,34,4,3,0,,FALSE,40
Kryštof Nuc,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,35,4,3,0,,FALSE,40
Samuel Zobeley,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,36,4,3,0,,FALSE,40
Matej Vodrazka,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,37,4,3,0,,FALSE,40
František Vitula,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,38,4,3,0,,FALSE,40
Robin Polak,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,39,4,3,0,,FALSE,40
Sam Boscq,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,40,4,3,0,,FALSE,40
Oleh Lototskyi,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,41,4,3,0,,FALSE,30
Dominik Hakl,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,42,4,3,0,,FALSE,30
Max Bobrovský,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,43,4,3,0,,FALSE,30
Nolaac Vivnil,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,44,4,3,0,,FALSE,30
Vojtěch Lavička,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,45,4,3,0,,FALSE,30
Patrik Adler,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,46,4,3,0,,FALSE,30
Tomáš Benda,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,47,4,3,0,,FALSE,30
Dennis Lagron,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,48,4,3,0,,FALSE,30
Radek Stehno,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,49,4,3,0,,FALSE,30
Adam Petrik,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,50,4,3,0,,FALSE,30
Vlad Komanicky,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,51,4,3,0,,FALSE,20
Jan Verner,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,52,4,3,0,,FALSE,20
Felix Müggenburg,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,53,4,3,0,,FALSE,20
Pavel Gric,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,54,4,3,0,,FALSE,20
dennis connolly,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,55,4,3,0,,FALSE,20
Matěj Hataš,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,56,4,3,0,,FALSE,20
Dan Petrok,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,57,3,2,2,,FALSE,20
bart olomej,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,58,3,2,2,,FALSE,20
Ondřej Müller,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,59,3,3,1,,FALSE,20
Michal Hrubý,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,60,3,3,1,,FALSE,20
Michal Styk,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,61,3,3,1,,FALSE,10
Ondra Plicka,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,62,3,3,1,,FALSE,10
Ivo Saniter,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,63,3,3,1,,FALSE,10
Ondřej Vitula,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,64,3,3,1,,FALSE,10
Zbyněk Barták,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,65,3,4,0,,FALSE,10
Jakub Lerl,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,66,3,4,0,,FALSE,10
Václav Pavlíček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,67,3,4,0,,FALSE,10
Jířa Joska,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,68,3,4,0,,FALSE,10
Vit Rehacek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,69,3,4,0,,FALSE,10
Jan Kulhanek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,70,3,4,0,,FALSE,10
Matej Hynek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,71,3,4,0,,FALSE,10
Florian Aime,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,72,3,4,0,,FALSE,10
Jan Bizon,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,73,3,4,0,,FALSE,10
Tomáš Neumann,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,74,3,4,0,,FALSE,10
Ervin Kuč,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,75,3,4,0,,FALSE,10
Ondřej Štěfáček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,76,3,4,0,,FALSE,10
Milos Palek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,77,3,4,0,,FALSE,10
David Štěpánek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,78,3,4,0,,FALSE,10
david c8hak,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,79,3,4,0,,FALSE,10
Matouš Pavlovský-Fiala,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,80,3,4,0,,FALSE,10
Sam Clark,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,81,3,4,0,,FALSE,10
Jan Kozlík,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,82,3,4,0,,FALSE,10
ondrej barta,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,83,3,4,0,,FALSE,10
Drahomír Havlíček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,84,2,2,3,,FALSE,10
Josef Krpalek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,85,2,2,3,,FALSE,10
Daniel Hanzlík,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,86,3,4,0,,FALSE,10
Jakub Souček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,87,3,4,0,,FALSE,10
Marek Majer,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,88,3,4,0,,FALSE,10
Ryan Lyddall,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,89,3,4,0,,FALSE,10
Ondřej Benda,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,90,2,3,2,,FALSE,10
Ondřej Jarkovský,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,91,2,4,1,,FALSE,10
Lukas Kraft,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,92,2,4,1,,FALSE,10
Pavel Baloun,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,93,2,4,1,,FALSE,10
Michael Olsen,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,94,2,4,1,,FALSE,10
Michal Matoušek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,95,2,4,1,,FALSE,10
Matthew Grygar,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,96,2,5,0,,FALSE,10
Tomáš Hanousek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,97,2,5,0,,FALSE,10
Sebastian Jacques,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,98,2,5,0,,FALSE,10
Tomas Kozon,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,99,2,5,0,,FALSE,10
Jakub Bárta,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,100,2,5,0,,FALSE,10
Lukáš Fadrný,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,101,2,5,0,,FALSE,10
Jan Svoboda,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,102,2,5,0,,FALSE,10
David Bohuslav,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,103,2,5,0,,FALSE,10
Matěj Lank,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,104,2,5,0,,FALSE,10
Lukáš Holer,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,105,2,5,0,,FALSE,10
Peter Markovič,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,106,2,5,0,,FALSE,10
Marek Švára,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,107,2,5,0,,FALSE,10
Filip Mraz,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,108,2,5,0,,FALSE,10
Tomáš Fridrich,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,109,2,5,0,,FALSE,10
Karel Klinkáček,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,110,2,5,0,,FALSE,10
Tomáš Schebelle,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,111,2,5,0,,FALSE,10
Jan Franěk,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,112,2,5,0,,FALSE,10
Jamie Olsen,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,113,2,5,0,,FALSE,10
Tomas Vojik,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,114,2,5,0,,FALSE,10
Jan Tic,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,115,2,5,0,,FALSE,10
Matěj Barášek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,116,1,4,2,,FALSE,10
Adam Fajkus,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,117,1,6,0,,FALSE,10
Nicola Angelozzi,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,118,1,6,0,,FALSE,10
Vratislav Drábek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,119,1,6,0,,FALSE,10
Milan Kubeš,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,120,1,6,0,,FALSE,10
Simon Lavrík,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,121,1,6,0,,FALSE,0
Matěj Orálek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,122,1,6,0,,FALSE,0
Martin Sutka,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,123,1,6,0,,FALSE,0
Adam Luxburg,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,124,0,6,1,,FALSE,0
Dung Nguyen,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,125,0,6,1,,FALSE,0
Jiří Obraz,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,126,0,7,0,,FALSE,0
Jiří Kočárek,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,127,0,7,0,,FALSE,0
Lukáš Müller,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,128,0,7,0,,FALSE,0
Alan Stehlik,,Grail 4,https://www.mtgtop8.com/event?e=82209&f=EDH,129,0,7,0,,FALSE,0
