Name,ProfilePicture,TournamentName,TournamentLink,Placement,Wins,Losses,Draws,DeckLink,LeaguePlayer,Points
Marek Voráček,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,1,8,1,1,https://www.mtgtop8.com/event?e=79136&d=801014&f=EDH,FALSE,100
Miroslav Kalina,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,2,8,1,1,https://www.mtgtop8.com/event?e=79136&d=801015&f=EDH,FALSE,92
Jan Franěk,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,3,6,1,2,https://www.mtgtop8.com/event?e=79136&d=801016&f=EDH,FALSE,88
Jakub Vojta,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,4,6,2,1,https://www.mtgtop8.com/event?e=79136&d=801017&f=EDH,FALSE,85
Michal Hrubý,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,5,6,1,1,https://www.mtgtop8.com/event?e=79136&d=801018&f=EDH,FALSE,82
Adam Divis,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,7,5,2,1,https://www.mtgtop8.com/event?e=79136&d=801020&f=EDH,FALSE,80
Josef Böhm,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,8,5,3,0,https://www.mtgtop8.com/event?e=79136&d=801021&f=EDH,FALSE,78
Lubor Šída,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,9,5,2,0,,FALSE,76
Dung Nguyen Tien,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,10,5,2,0,,FALSE,74
Milos Palek,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,11,5,2,0,,FALSE,72
Zbyněk Barták,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,12,5,2,0,,FALSE,70
Ondřej Smetana,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,13,5,2,0,,FALSE,69
Adam Petrik,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,14,5,2,0,,FALSE,68
Dominik Mašík,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,15,5,2,0,,FALSE,67
Jakub Bárta,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,16,4,2,1,,FALSE,66
Oleh Lototskyi,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,17,4,2,1,,FALSE,65
Roman Legiň,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,18,4,3,0,,FALSE,64
Jan Bizon,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,19,4,3,0,,FALSE,63
Matouš Pavlovský-Fiala,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,20,4,3,0,,FALSE,62
Alan Stehlik,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,21,4,3,0,,FALSE,61
Kryštof Nuc,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,22,4,3,0,,FALSE,60
Matěj Liederhaus,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,23,4,3,0,,FALSE,59
Dennis Lagron,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,24,4,3,0,,FALSE,58
Max Bobrovský,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,25,4,3,0,,FALSE,57
Jakub Lerl,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,26,4,3,0,,FALSE,56
Marek Majer,,Grail 3,https://www.mtgtop8.com/event?e=79136&f=EDH,27,4,3,0,,FALSE,55
